Dataset,,,,,Model,Model Desc,Time Taken,Accuracy,Balanced Accuracy,Precision,Recall,F1,CM
MNIST,,,,,DummyClassifier,DummyClassifier(),0.002998352,0.1135,0.1,0.1135,0.1135,0.1135,"[[   0  980    0    0    0    0    0    0    0    0]
 [   0 1135    0    0    0    0    0    0    0    0]
 [   0 1032    0    0    0    0    0    0    0    0]
 [   0 1010    0    0    0    0    0    0    0    0]
 [   0  982    0    0    0    0    0    0    0    0]
 [   0  892    0    0    0    0    0    0    0    0]
 [   0  958    0    0    0    0    0    0    0    0]
 [   0 1028    0    0    0    0    0    0    0    0]
 [   0  974    0    0    0    0    0    0    0    0]
 [   0 1009    0    0    0    0    0    0    0    0]]"
MNIST,,,,,DummyClassifier,DummyClassifier(strategy='uniform'),0.002990007,0.1039,0.104,0.1039,0.1039,0.1039,"[[122 105  89  84  95  85  96 108  97  99]
 [137 114 111  94 120 107 115 102 128 107]
 [100  87 107 108 101 107 105  90  98 129]
 [ 90 124 117  87  97  96  91  93 105 110]
 [ 98  94 108  90 112  93 104  90 105  88]
 [ 87  92  98  87  85  92  98 102  82  69]
 [ 93  93  80 111  83  94  95 102  97 110]
 [105 104  90 106  91 113 101  96 109 113]
 [105  93  95  99  88 103  91 106  99  95]
 [110  98  90 102  80  95 102 108 109 115]]"
Fashion,,,,,DummyClassifier,DummyClassifier(),0.002994299,0.1,0.1,0.1,0.1,0.1,"[[1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]]"
Fashion,,,,,DummyClassifier,DummyClassifier(strategy='uniform'),0.002985001,0.1007,0.1007,0.1007,0.1007,0.1007,"[[ 99  96 101  98 101 104 105 108  94  94]
 [ 93 111  92  96  86  94 119 123 106  80]
 [ 84 104 104  98  85 116 115  88  88 118]
 [105 106  87 103 107 106 103 107  96  80]
 [106 110  83  98 108 106  92  89 111  97]
 [ 95  97 110 110  97  93  91  89 107 111]
 [ 98  90 102 103  91 113 103  92 103 105]
 [104  99 114 114  99  89  91  88  98 104]
 [ 97  99 106  98  74 112 120  93 100 101]
 [ 99  96 111  99 101 112  95  88 101  98]]"
CIFAR10,,,,,DummyClassifier,DummyClassifier(),0.002521276,0.0954,0.1,0.0954,0.0954,0.0954,"[[   0    0    0    0    0    0 1282    0    0    0]
 [   0    0    0    0    0    0 1261    0    0    0]
 [   0    0    0    0    0    0 1296    0    0    0]
 [   0    0    0    0    0    0 1223    0    0    0]
 [   0    0    0    0    0    0 1249    0    0    0]
 [   0    0    0    0    0    0 1212    0    0    0]
 [   0    0    0    0    0    0 1192    0    0    0]
 [   0    0    0    0    0    0 1277    0    0    0]
 [   0    0    0    0    0    0 1242    0    0    0]
 [   0    0    0    0    0    0 1266    0    0    0]]"
CIFAR10,,,,,DummyClassifier,DummyClassifier(strategy='uniform'),0.00099659,0.1015,0.1015,0.1015,0.1015,0.1015,"[[142 125 134 100 135 141 116 124 138 127]
 [143 117 140 137 109 110 128 126 112 139]
 [129 136 143 115 120 134 126 122 129 142]
 [124 136 102 100 111 122 124 124 145 135]
 [132 121 112 122 139 121 121 145 113 123]
 [118 117 126 134 123 129 118  95 135 117]
 [120 120 115 109 114 122 122 117 121 132]
 [137 113 123 134 132 130 116 126 129 137]
 [132 126 130 115 113 125 127 120 129 125]
 [130 124 127 145 123 123 123 127 122 122]]"
CIFAR Coarse,,,,,DummyClassifier,DummyClassifier(),0.002995968,0.05,0.05,0.05,0.05,0.05,"[[500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]]"
CIFAR Coarse,,,,,DummyClassifier,DummyClassifier(strategy='uniform'),0.001993418,0.0521,0.0521,0.0521,0.0521,0.0521,"[[34 28 29 22 25 22 26 20 29 24 16 26 25 25 24 27 24 25 26 23]
 [21 26 30 22 23 26 29 18 28 30 21 22 26 23 23 22 36 29 17 28]
 [22 24 23 25 26 34 30 24 26 24 18 31 21 23 23 31 22 26 19 28]
 [21 18 26 29 21 34 24 14 26 31 21 19 36 23 33 26 27 27 20 24]
 [21 24 31 27 32 16 19 31 19 23 35 20 20 18 27 37 28 22 21 29]
 [27 27 16 28 25 28 27 18 26 32 20 25 24 28 24 28 33 24 20 20]
 [27 34 29 21 35 27 19 24 29 23 22 26 22 25 23 20 25 28 23 18]
 [24 17 30 28 32 18 22 23 27 27 24 26 21 25 23 27 22 28 24 32]
 [30 20 24 22 32 25 24 15 24 26 34 26 25 22 22 27 24 29 25 24]
 [25 17 27 25 24 17 20 31 21 29 27 19 22 27 18 33 26 29 34 29]
 [34 27 40 16 23 28 15 21 21 26 30 23 18 27 24 34 20 29 19 25]
 [32 20 19 26 28 25 27 19 27 29 27 25 30 22 18 28 27 31 19 21]
 [30 35 17 28 24 19 28 37 26 18 19 25 32 29 26 21 25 14 25 22]
 [23 29 27 28 24 26 23 17 22 26 26 21 23 24 26 24 32 28 19 32]
 [23 30 28 27 25 29 20 28 23 24 18 21 26 30 20 19 22 25 33 29]
 [17 22 30 25 24 26 26 26 26 26 26 22 24 28 26 21 25 28 25 27]
 [23 27 20 25 30 23 22 27 22 27 23 30 23 19 14 33 25 19 32 36]
 [22 33 15 31 31 16 31 26 24 23 24 26 25 22 29 26 28 25 16 27]
 [23 20 28 29 27 20 28 29 25 32 26 17 21 28 25 29 26 24 24 19]
 [26 26 23 29 32 30 31 29 24 17 26 20 18 23 28 22 27 22 19 28]]"
CIFAR Fine,,,,,DummyClassifier,DummyClassifier(),0.002982855,0.01,0.01,0.01,0.01,0.01,"[[100   0   0 ...   0   0   0]
 [100   0   0 ...   0   0   0]
 [100   0   0 ...   0   0   0]
 ...
 [100   0   0 ...   0   0   0]
 [100   0   0 ...   0   0   0]
 [100   0   0 ...   0   0   0]]"
CIFAR Fine,,,,,DummyClassifier,DummyClassifier(strategy='uniform'),0.002990246,0.0095,0.0095,0.0095,0.0095,0.0095,"[[1 1 1 ... 2 0 1]
 [0 1 2 ... 1 0 1]
 [2 0 1 ... 1 2 4]
 ...
 [1 0 3 ... 1 1 1]
 [0 1 0 ... 1 1 3]
 [0 0 0 ... 2 2 0]]"
