Dataset,,,,,Model,Model Desc,Time Taken,Accuracy,Balanced Accuracy,Precision,Recall,F1,CM
cifar10,,,,,DummyClassifier,DummyClassifier(),0.002521276,0.0954,0.1,0.0954,0.0954,0.0954,"[[   0    0    0    0    0    0 1282    0    0    0]
 [   0    0    0    0    0    0 1261    0    0    0]
 [   0    0    0    0    0    0 1296    0    0    0]
 [   0    0    0    0    0    0 1223    0    0    0]
 [   0    0    0    0    0    0 1249    0    0    0]
 [   0    0    0    0    0    0 1212    0    0    0]
 [   0    0    0    0    0    0 1192    0    0    0]
 [   0    0    0    0    0    0 1277    0    0    0]
 [   0    0    0    0    0    0 1242    0    0    0]
 [   0    0    0    0    0    0 1266    0    0    0]]"
cifar10,,,,,DummyClassifier,DummyClassifier(strategy='uniform'),0.00099659,0.1015,0.1015,0.1015,0.1015,0.1015,"[[142 125 134 100 135 141 116 124 138 127]
 [143 117 140 137 109 110 128 126 112 139]
 [129 136 143 115 120 134 126 122 129 142]
 [124 136 102 100 111 122 124 124 145 135]
 [132 121 112 122 139 121 121 145 113 123]
 [118 117 126 134 123 129 118  95 135 117]
 [120 120 115 109 114 122 122 117 121 132]
 [137 113 123 134 132 130 116 126 129 137]
 [132 126 130 115 113 125 127 120 129 125]
 [130 124 127 145 123 123 123 127 122 122]]"
cifar10,0,0,0,0,DummyClassifier,DummyClassifier(),0.002989292,0.1,0.1,0.1,0.1,0.1,"[[1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]]"
cifar10,0,0,0,0,DummyClassifier,DummyClassifier(strategy='uniform'),0.00199008,0.0988,0.0988,0.0988,0.0988,0.0988,"[[106 104 101  89 107  94 107 110  86  96]
 [105 100  94  99 101 109  95  96 104  97]
 [100  97 107  91  81 106 105  97 111 105]
 [ 92 105  92 111 101 101 101 105 113  79]
 [104 102 119 102 107  82  89  87  97 111]
 [ 97  92 111 108  90  79 107  97 107 112]
 [109 118 106  91 114 102  73  87  96 104]
 [104 112  98  91  91 106  97  86 117  98]
 [106  98  97 103  96  93  89 105  95 118]
 [102 100  88  82  84  94 100 118 108 124]]"
cifar10,0,0,0,0,LogisticRegression,LogisticRegression(random_state=42),28.95260549,0.3985,0.3985,0.3985,0.3985,0.3985,"[[488  37  54  42  22  28  25  54 176  74]
 [ 54 468  37  44  29  38  38  47  70 175]
 [ 96  36 275 108 117  88 135  79  43  23]
 [ 40  48  97 273  70 188 144  51  31  58]
 [ 53  24 139  77 286  91 172 109  24  25]
 [ 40  46  92 184  97 330  84  67  35  25]
 [ 19  32  79 157  92  92 454  39  12  24]
 [ 51  45  67  72  95  85  38 435  32  80]
 [152  74  28  32  17  37  15  23 520 102]
 [ 66 179  21  36  23  24  50  61  84 456]]"
cifar10,0,0,0,0,DecisionTreeClassifier,DecisionTreeClassifier(random_state=42),327.7638991,0.2693,0.2693,0.2693,0.2693,0.2693,"[[351  77  93  44  61  57  40  44 154  79]
 [ 63 284  70  74  61  54  52  66 107 169]
 [103  57 218  96 141 110 101  86  40  48]
 [ 67  62 110 173 109 137 128  97  65  52]
 [ 60  45 157  98 240  88 123 100  39  50]
 [ 52  63  94 164  91 216 108  95  70  47]
 [ 42  43 114 116 140 117 287  62  21  58]
 [ 70  80  85  93 108 107  62 263  58  74]
 [156  94  43  53  38  47  33  47 380 109]
 [ 89 176  53  73  47  55  47  86  93 281]]"
cifar10,0,0,0,0,KNeighborsClassifier,KNeighborsClassifier(),18.55425882,0.3383,0.3383,0.3383,0.3383,0.3383,"[[541   6 114  16  61   7  24   6 223   2]
 [133 213 106  46 147  36  63  11 222  23]
 [115   5 422  58 243  34  60  11  48   4]
 [ 67   5 243 222 184 112 106  11  48   2]
 [ 64   1 264  47 509  19  36  14  45   1]
 [ 71   6 227 156 194 209  73  13  46   5]
 [ 28   2 257  68 318  38 266   1  21   1]
 [ 96   7 188  40 282  51  55 221  56   4]
 [145  13  38  42  68  16  13   8 650   7]
 [154  60 106  66 122  22  55  26 259 130]]"
cifar10,0,0,0,0,LinearSVC,LinearSVC(random_state=42),3291.571664,0.2504,0.2504,0.2504,0.2504,0.2504,"[[197  38  46  83  48  55  34 190 211  98]
 [ 55 308  46  56  46 102  49  85  98 155]
 [ 77  48 214  60 109 128 152 117  57  38]
 [ 89  74  91 117  82 179 142 117  38  71]
 [ 58  40 180  47 181 153 186  81  42  32]
 [102  49 105  92 144 145 120 108  35 100]
 [ 38  45 119  60  88 149 376  52  24  49]
 [ 56  57  93  34  78 149  96 324  32  81]
 [ 46  46  31  63  51  55  27 123 394 164]
 [ 44 143  27  32  49 102  65 206  84 248]]"
cifar10,0,0,0,0,LinearDiscriminantAnalysis,LinearDiscriminantAnalysis(),112.714884,0.3712,0.3712,0.3712,0.3712,0.3712,"[[467  46  48  51  21  40  20  54 183  70]
 [ 66 422  44  51  35  44  36  46  75 181]
 [105  37 251 106 133  83 139  71  47  28]
 [ 42  50 119 259  64 200 131  48  29  58]
 [ 60  27 157  83 269 104 145 101  24  30]
 [ 39  43 108 192  78 315  88  72  36  29]
 [ 15  46 101 145 124  79 411  43  13  23]
 [ 49  41  86  74  87  94  45 411  39  74]
 [175  83  23  43  11  52  12  22 479 100]
 [ 74 186  26  40  29  30  40  62  85 428]]"
cifar10,0,0,0,0,QuadraticDiscriminantAnalysis,QuadraticDiscriminantAnalysis(),157.7774849,0.3622,0.3622,0.3622,0.3622,0.3622,"[[151 291  27  19  15   4 140  74 109 170]
 [  4 716   0   2   0   0  77  18  20 163]
 [ 14 114 137  27  41  39 412 112  14  90]
 [  7 188  13 134   9  65 276 155  16 137]
 [  4 111   7  10 171  12 376 212  12  85]
 [  1 158  11  58   9 168 276 204  10 105]
 [  7  89   8   6  17   8 789  22   7  47]
 [  0 136   3   8   8  11 132 547   5 150]
 [ 24 301   8   8   7   4  83  52 222 291]
 [  5 284   2   8   3   0  52  44  15 587]]"
